iter	Passed	Remaining
213	2481	2424214	2467	23988
21215	2507	24255
216	2513	2418217	2499	23930
218	2503	23846
21219	2541	2409220	2530	23866
221	2536	23797
22222	2574	2403223	2563	23813
224	2567	23734
225	2568	23631
22226	2608	23875
227	2612	2379228	2599	23563
22229	2639	23817
230	2645	237523231	2650	236823232	2665	23704
233	2669	23625
234	2673	2355235	2658	23303
23236	2695	23516
237	2700	23451
238	2705	2338239	2701	23246
24240	2731	233924241	2735	2332242	2730	23173
243	2734	23100
244	2740	23045
245	2746	22987
246	2767	23057
247	2774	23012
248	2779	22953
249	2790	22934
250	2793	22863
251	2800	22812
252	2813	22822
253	2819	22769
254	2825	22710
255	2836	22706
256	2841	22639
257	2845	22575
258	2851	22524
259	2867	22556
260	2872	22492
261	2876	22432
262	2881	22369
263	2892	22360
264	2897	22306
265	2902	22250
266	2911	22225
267	2916	22164
268	2921	22112
269	2938	22150
270	2942	22085
271	2947	22027
272	2952	21979
273	2963	21964
274	2968	21915
275	2971	21846
276	2975	21784
277	2982	21746
278	2987	21697
279	2991	21637
280	2997	21588
281	3007	21573
282	3011	21514
283	3015	21458
284	3030	21480
285	3036	21438
286	3042	21389
287	3047	21341
288	3056	21320
289	3061	21272
290	3069	21244
291	3075	21198
292	3080	21154
293	3086	21109
294	3101	21133
295	3105	21078
296	3111	21033
297	3117	20995
298	3121	20944
299	3127	20904
300	3137	20891
301	3142	20841
302	3146	20787
303	3150	20734
304	3157	20707
305	3162	20656
306	3166	20607
307	3170	20556
308	3177	20527
309	3181	20475
310	3185	20423
311	3189	20372
312	3196	20343
313	3201	20300
314	3206	20259
315	3211	20214
316	3215	20167
317	3219	20119
318	3224	20073
319	3235	20072
320	3241	20032
321	3242	19969
322	3244	19909
323	3257	19914
324	3261	19869
325	3265	19823
326	3269	19776
327	3281	19780
328	3285	19731
329	3290	19695
330	3303	19699
331	3307	19656
332	3311	19609
333	3315	19566
334	3325	19554
335	3330	19516
336	3335	19479
337	3349	19490
338	3354	19454
339	3360	19419
340	3373	19430
341	3378	19393
342	3384	19360
343	3388	19316
344	3394	19287
345	3398	19244
346	3404	19210
347	3410	19181
348	3416	19145
349	3421	19113
350	3434	19117
351	3438	19075
352	3442	19035
353	3446	18992
354	3454	18973
355	3458	18932
356	3462	18893
357	3466	18853
358	3472	18825
359	3478	18795
360	3482	18754
361	3486	18715
362	3489	18669
363	3505	18693
364	3509	18653
365	3513	18614
366	3517	18576
367	3524	18550
368	3528	18512
369	3499	18299
370	3505	18276
371	3544	18416
372	3549	18386
373	3553	18348
374	3527	18155
37375	3583	183837376	3586	1834377	3548	18087
378	3552	18052
379	3602	18248
380	3606	18211
381	3610	18175
382	3586	17998
383	3590	17962
384	3595	17931
385	3635	18071
386	3611	17900
387	3615	17865
388	3653	17997
38389	3675	180439390	3680	1801391	3673	17925
39392	3694	179739393	3709	17991
394	3715	17967
395	3721	17939
396	3726	17908
397	3738	17910
398	3743	17881
399	3747	17847
400	3759	17850
401	3763	17815
402	3767	17779
403	3771	17744
404	3780	17736
405	3782	17693
406	3786	17659
407	3791	17626
408	3801	17621
409	3806	17595
410	3810	17561
411	3814	17526
412	3822	17512
413	3826	174741414	3830	174441415	3835	174141416	3843	174041417	3849	173741418	3855	173541419	3867	17356
420	3871	17325
421	3875	17293
422	3884	17284
423	3890	17259
424	3896	17236
425	3901	172142426	3912	17205
427	3916	17177
428	3922	17151
429	3929	17134
430	3933	17101
431	3936	170643432	3940	1703433	3899	16811
43434	3960	17025
435	3963	169843436	3968	16965
437	3976	16948
438	3979	16914
439	3984	168844440	3989	168644441	3993	168344442	4006	16840
443	4010	16809
444	4014	167744445	4018	167444446	4025	167344447	4031	167044448	4040	16701
449	4044	16674
450	4050	166445451	4058	166345452	4064	166145453	4069	165945454	4081	16595
455	4085	16566
456	4089	16538
457	4094	165145458	4111	16536
459	4115	16508
460	4120	164846461	4126	16459
462	4131	16437
463	4136	16413
464	4149	164146465	4154	163946466	4159	163746467	4178	16402
468	4183	16378
469	4189	16356
470	4199	16351
471	4205	16330
472	4210	16307
473	4231	16344
474	4236	16322
475	4247	16322
476	4267	16353
477	4272	16331
478	4282	16326
479	4300	16352
480	4305	16328
481	4309	16301
482	4330	16337
483	4340	16332
484	4345	16306
485	4354	16297
486	4400	16429
487	4405	16404
488	4411	16384
489	4431	16415
490	4436	16390
491	4442	16370
492	4470	16432
493	4476	16409
494	4480	16383
495	4488	16369
496	4496	16357
497	4503	16339
498	4524	16374
499	4528	16347
500	4533	16322
501	4539	16303
502	4562	16345
503	4568	16323
504	4573	16301
505	4601	16360
506	4606	16335
507	4612	16315
508	4618	16295
509	4635	16314
510	4643	16302
511	4650	16286
512	4666	16302
513	4671	16276
514	4675	16250
515	4680	16225
516	4709	16288
517	4715	16266
518	4733	16288
519	4745	16290
520	4751	16271
521	4761	16263
522	4766	16241
523	4770	16214
524	4776	16193
525	4801	16239
526	4805	16214
527	4810	16189
528	4815	16165
529	4843	16222
530	4848	16198
531	4852	16172
532	4873	16202
533	4877	16177
534	4883	16157
535	4889	16137
536	4905	16151
537	4910	16128
538	4915	161053539	4943	16157
540	4948	16136
541	4954	16116
542	4977	16151
543	4983	16132
544	4989	16112
545	5004	16123
546	5010	16101
547	5017	16087
548	5042	16128
549	5047	16105
550	5052	16083
551	5066	16088
552	5070	16064
553	5076	16045
554	5100	16082
555	5105	16061
556	5111	16040
557	5121	16033
558	5126	16011
559	5130	15987
560	5135	15966
561	5145	15958
562	5149	15933
563	5153	15908
564	5157	15883
565	5167	15876
566	5171	15852
567	5175	15827
568	5189	15834
569	5193	15808
570	5198	15786
571	5200	15756
572	5210	15750
573	5213	15722
574	5218	15702
575	5224	15681
576	5233	15674
577	5238	15653
578	5243	15632
579	5252	15621
580	5257	15600
581	5262	15580
582	5273	15576
583	5278	15556
584	5283	15533
585	5287	15510
586	5297	15505
587	5301	15481
588	5304	15454
589	5319	15461
590	5324	15441
591	5329	15421
592	5341	15421
593	5345	15397
594	5350	15377
595	5355	15357
596	5363	15345
597	5369	15326
598	5374	15306
599	5378	15284
600	5382	15262
601	5395	15263
602	5406	15259
603	5410	15236
604	5413	15212
605	5418	15190
606	5434	15203
607	5438	15180
608	5442	15157
609	5444	15129
610	5448	15106
611	5455	150961612	5467	15091
613	5469	15063
614	5473	15040
615	5478	15022
616	5483	15002
617	5488	14982
618	5493	14963
619	5508	14970
620	5513	14952
621	5519	14933
622	5531	14935
623	5537	14916
624	5542	14897
625	5551	14889
626	5556	14870
627	5560	14848
628	5561	14819
629	5573	14817
630	5577	14797
631	5581	14776
632	5585	14754
633	5598	14755
634	5599	14726
635	5603	14703
636	5604	14676
637	5615	14671
638	5617	14646
639	5622	14627
640	5627	14609
641	5636	14599
642	5641	14581
643	5643	1455644	5649	14540
64645	5659	145364646	5663	1451647	5668	14495
648	5673	14477
649	5679	14460
650	5687	14451
651	5692	14430
652	5696	14410
653	5700	14390
654	5709	14382
655	5714	14364
656	5719	14347
657	5728	14338
658	5732	14317
659	5736	14297
660	5740	14276
661	5748	14267
662	5754	14250
663	5759	14234
664	5771	14234
665	5776	14214
666	5780	14194
667	5784	14174
668	5790	14160
669	5794	14140
67670	5804	14134
671	5809	141167672	5814	141067673	5824	14094
674	5828	140767675	5830	140467676	5835	140367677	5841	1401678	5848	14006
679	5852	13986
680	5856	13966
681	5860	13947
682	5877	13958
683	5881	13937
684	5886	13920
685	5889	13900
686	5895	13885
687	5899	13866
688	5904	13847
689	5907	13827
69690	5912	138169691	5917	137969692	5922	137769693	5929	1376694	5933	13746
695	5937	13727
696	5941	13707
697	5946	13689
698	5957	13687
699	5968	13685
700	5972	13666
701	5976	13647
702	5980	13627
703	5983	13607
704	5991	13598
705	5995	13579
706	5999	13561
707	6004	13543
708	6014	13539
709	6018	13521
710	6024	13507
711	6028	13488
712	6033	13472
713	6039	13457
714	6043	13440
715	6049	13424
716	6053	13406
717	6057	13389
718	6062	13373
719	6079	13382
720	6083	13366
721	6088	13348
722	6099	13345
723	6104	13330
724	6110	13315
725	6117	13305
726	6123	13290
727	6128	13275
728	6147	13289
729	6151	13272
730	6157	13258
731	6164	13247
732	6169	13231
733	6173	13213
734	6177	13195
735	6185	13185
736	6190	13171
737	6195	13155
738	6207	13153
739	6211	13135
740	6216	13120
741	6224	13112
742	6231	13100
743	6235	13083
744	6241	13068
745	6248	13058
746	6254	13044
747	6258	13026
748	6262	13008
749	6268	12997
750	6273	12981
751	6279	12968
752	6283	12950
753	6286	12931
754	6290	12914
755	6293	12895
756	6298	12879
757	6303	12864
758	6308	12848
759	6312	12832
760	6317	12816
761	6321	12800
762	6324	12781
763	6328	12764
764	6332	12747
765	6337	12732
766	6342	12717
767	6346	12700
768	6350	12684
769	6354	12667
770	6359	12652
771	6363	12637
772	6367	12619
773	6371	12602
774	6376	12588
775	6380	12572
776	6384	12554
777	6389	12540
778	6394	12525
779	6397	12508
780	6401	12491
781	6405	12475
782	6410	12460
783	6414	12443
784	6418	12427
785	6421	12409
786	6425	12394
787	6430	12379
788	6434	12363
789	6438	12346
790	6441	12330
791	6445	12313
792	6449	12296
793	6452	12280
794	6456	12263
795	6459	12245
796	6462	12227
797	6465	12209
798	6468	12191
799	6472	12175
800	6476	12161
801	6481	12146
802	6487	12134
803	6492	12120
804	6496	12105
805	6500	12088
806	6504	12073
807	6508	12057
808	6512	12043
809	6516	12027
810	6520	12011
811	6524	11996
812	6528	11981
813	6532	11965
814	6535	11949
815	6539	11933
816	6543	11917
817	6546	11900
818	6549	11883
819	6553	11867
820	6557	11852
821	6561	11837
822	6565	11822
823	6568	11805
824	6571	11788
825	6574	11772
826	6577	11755
827	6580	11738
828	6584	11722
829	6587	11706
830	6590	11690
831	6594	11675
832	6597	11659
833	6601	11644
834	6604	11627
835	6607	11610
836	6610	11594
837	6613	11577
838	6617	11562
839	6620	11547
840	6624	11531
841	6628	11517
842	6633	11503
843	6636	11487
844	6640	11472
845	6643	11457
846	6648	11444
847	6652	11429
848	6655	11414
849	6659	11399
850	6663	11385
851	6667	11370
852	6670	11354
853	6673	11338
854	6677	11324
855	6681	11309
856	6685	11295
857	6688	11280
858	6692	11266
859	6696	11251
860	6699	11235
861	6702	11219
862	6705	11205
863	6709	11190
864	6712	11175
865	6716	11159
866	6720	11146
867	6725	11133
868	6729	11121
869	6733	11106
870	6738	11093
871	6741	11079
872	6745	11064
873	6749	11050
874	6752	11035
875	6756	11021
876	6760	11007
877	6763	10992
878	6766	10977
879	6770	10963
880	6775	10950
881	6778	10936
882	6782	10922
883	6785	10907
884	6788	10893
885	6792	10879
886	6796	10865
887	6799	10850
888	6803	10836
889	6806	10821
890	6809	10806
891	6812	10791
892	6816	10777
893	6820	10764
894	6824	10750
895	6828	10737
896	6831	10723
897	6835	10709
898	6838	10694
899	6842	10682
900	6846	10668
901	6850	10655
902	6854	10641
903	6858	10629
904	6862	10616
905	6865	10601
906	6869	10588
907	6873	10575
908	6887	10577
909	6892	10566
910	6912	10577
911	6919	10568
912	6923	10556
913	6933	10552
914	6938	10540
915	6941	10525
916	6945	10512
917	6948	10498
918	6952	10484
919	6955	10471
920	6959	10457
921	6962	10444
922	6966	10431
923	6970	10418
924	6974	10405
925	6979	10393
926	6983	10381
927	6987	10368
928	6991	10354
929	6995	10343
930	6999	10330
931	7003	10316
932	7006	10303
933	7011	10291
934	7015	10279
935	7019	10266
936	7023	10253
937	7027	10241
938	7030	10227
939	7033	10213
940	7036	10200
941	7040	10187
942	7043	10173
943	7046	10159
944	7050	10147
945	7054	10134
946	7058	10121
947	7062	10108
948	7066	10096
949	7070	10085
950	7074	10072
951	7077	10059
952	7081	10046
953	7085	10034
954	7090	10023
955	7095	10011
956	7099	10000
957	7103	9988
958	7108	9977
959	7112	9965
960	7118	9955
961	7123	9944
962	7127	9933
963	7132	9922
964	7138	9912
965	7142	9901
966	7148	9891
967	7154	9881
968	7159	9870
969	7164	9860
970	7168	9848
971	7172	9835
972	7177	9825
973	7180	9812
974	7184	9800
975	7188	9788
976	7192	9776
977	7195	9762
978	7199	9751
979	7202	9738
980	7206	9725
981	7209	9713
982	7213	9700
983	7217	9689
984	7221	9677
985	7224	9665
986	7228	9652
987	7232	9640
988	7236	9628
989	7240	9617
990	7244	9606
991	7248	9593
992	7251	9581
993	7256	9570
994	7259	9558
995	7262	9545
996	7266	9532
997	7269	9520
998	7273	9508
999	7278	9498
1000	7282	9486
1001	7285	9474
1002	7290	9463
1003	7293	9450
1004	7296	9438
1005	7300	9426
1006	7304	9415
1007	7308	9403
1008	7312	9391
1009	7315	9380
1010	7319	9367
1011	7322	9356
1012	7326	9344
1013	7329	9332
1014	7333	9320
1015	7338	9309
1016	7341	9298
1017	7345	9287
1018	7349	9275
1019	7353	9263
1020	7357	9252
1021	7361	9241
1022	7365	9230
1023	7369	9219
1024	7373	9207
1025	7376	9195
1026	7380	9184
1027	7385	9173
1028	7389	9163
1029	7393	9151
1030	7397	9140
1031	7401	9129
1032	7406	9119
1033	7409	9108
1034	7413	9097
1035	7417	9086
1036	7421	9074
1037	7425	9063
1038	7429	9052
1039	7433	9041
1040	7436	9029
1041	7441	9019
1042	7445	9008
1043	7448	8997
1044	7452	8985
1045	7456	8974
1046	7460	8964
1047	7464	8952
1048	7467	8941
1049	7471	8930
1050	7475	8919
1051	7479	8908
1052	7483	8898
1053	7487	8886
1054	7490	8875
1055	7494	8864
1056	7498	8853
1057	7501	8841
1058	7504	8829
1059	7507	8818
1060	7512	8807
1061	7516	8797
1062	7520	8787
1063	7524	8776
1064	7529	8766
1065	7533	8755
1066	7536	8744
1067	7539	8733
1068	7543	8721
1069	7547	8711
1070	7550	8700
1071	7554	8688
1072	7557	8677
1073	7560	8665
1074	7563	8653
1075	7568	8644
1076	7571	8632
1077	7574	8621
1078	7578	8610
1079	7582	8600
1080	7586	8590
1081	7590	8579
1082	7594	8568
1083	7598	8559
1084	7602	8548
1085	7605	8537
1086	7608	8525
1087	7612	8514
1088	7615	8504
1089	7619	8493
1090	7622	8481
1091	7625	8470
1092	7629	8459
1093	7632	8449
1094	7637	8439
1095	7640	8428
1096	7644	8418
1097	7647	8407
1098	7651	8396
1099	7654	8384
1100	7657	8373
1101	7660	8362
1102	7664	8352
1103	7667	8341
1104	7670	8330
1105	7674	8319
1106	7678	8309
1107	7683	8301
1108	7688	8291
1109	7692	8281
1110	7696	8271
1111	7699	8260
1112	7702	8249
1113	7706	8239
1114	7710	8229
1115	7714	8218
1116	7718	8208
1117	7721	8197
1118	7724	8187
1119	7727	8176
1120	7731	8165
1121	7734	8154
1122	7737	8144
1123	7740	8133
1124	7744	8122
1125	7748	8113
1126	7751	8101
1127	7754	8091
1128	7758	8081
1129	7762	8071
1130	7766	8061
1131	7769	8050
1132	7773	8041
1133	7777	8030
1134	7781	8021
1135	7784	8010
1136	7789	8001
1137	7793	7992
1138	7796	7981
1139	7800	7971
1140	7804	7961
1141	7808	7952
1142	7811	7941
1143	7814	7930
1144	7818	7920
1145	7821	7910
1146	7826	7901
1147	7829	7890
1148	7833	7880
1149	7836	7870
1150	7839	7859
1151	7843	7850
1152	7847	7840
1153	7850	7830
1154	7855	7821
1155	7859	7812
1156	7863	7802
1157	7866	7791
1158	7869	7781
1159	7873	7771
1160	7876	7761
1161	7881	7752
1162	7885	7743
1163	7889	7733
1164	7893	7723
1165	7897	7714
1166	7901	7705
1167	7904	7695
1168	7908	7685
1169	7913	7676
1170	7918	7668
1171	7923	7660
1172	7928	7651
1173	7932	7642
1174	7935	7631
1175	7939	7622
1176	7942	7612
1177	7946	7602
1178	7949	7592
1179	7953	7582
1180	7956	7572
1181	7959	7561
1182	7962	7551
1183	7965	7541
1184	7968	7531
1185	7972	7521
1186	7975	7511
1187	7979	7502
1188	7982	7491
1189	7985	7481
1190	7988	7472
1191	7992	7463
1192	7996	7453
1193	8001	7445
1194	8004	7435
1195	8008	7425
1196	8011	7415
1197	8014	7405
1198	8019	7397
1199	8024	7388
1200	8028	7379
1201	8031	7370
1202	8037	7362
1203	8040	7352
1204	8044	7343
1205	8047	7333
1206	8051	7324
1207	8054	7314
1208	8058	7305
1209	8062	7296
1210	8066	7287
1211	8070	7277
1212	8073	7267
1213	8076	7258
1214	8080	7248
1215	8084	7239
1216	8088	7230
1217	8093	7222
1218	8097	7214
1219	8100	7204
1220	8103	7194
1221	8107	7185
1222	8110	7175
1223	8114	7166
1224	8118	7157
1225	8121	7148
1226	8124	7138
1227	8128	7129
1228	8133	7120
1229	8137	7111
1230	8140	7102
1231	8145	7094
1232	8148	7084
1233	8152	7076
1234	8156	7066
1235	8159	7057
1236	8163	7048
1237	8168	7040
1238	8172	7031
1239	8176	7022
1240	8180	7013
1241	8183	7004
1242	8186	6994
1243	8190	6985
1244	8194	6976
1245	8197	6967
1246	8201	6958
1247	8205	6949
1248	8210	6941
1249	8214	6933
1250	8218	6924
1251	8222	6915
1252	8225	6905
1253	8228	6896
1254	8232	6887
1255	8235	6878
1256	8239	6869
1257	8242	6860
1258	8247	6852
1259	8251	6843
1260	8255	6835
1261	8259	6826
1262	8262	6817
1263	8267	6808
1264	8271	6800
1265	8275	6791
1266	8278	6782
1267	8282	6773
1268	8286	6764
1269	8290	6756
1270	8293	6747
1271	8297	6738
1272	8301	6729
1273	8305	6721
1274	8308	6712
1275	8312	6703
1276	8316	6694
1277	8321	6686
1278	8325	6678
1279	8329	6669
1280	8333	6661
1281	8336	6652
1282	8340	6643
1283	8344	6634
1284	8347	6626
1285	8351	6617
1286	8355	6609
1287	8360	6601
1288	8364	6593
1289	8367	6583
1290	8371	6575
1291	8375	6566
1292	8378	6557
1293	8381	6548
1294	8384	6539
1295	8388	6531
1296	8392	6522
1297	8396	6514
1298	8399	6505
1299	8403	6496
1300	8407	6488
1301	8411	6479
1302	8415	6471
1303	8418	6462
1304	8422	6453
1305	8426	6445
1306	8429	6436
1307	8433	6428
1308	8437	6419
1309	8440	6411
1310	8444	6402
1311	8448	6394
1312	8452	6386
1313	8456	6377
1314	8459	6368
1315	8463	6360
1316	8466	6351
1317	8470	6343
1318	8473	6334
1319	8477	6326
1320	8481	6317
1321	8484	6309
1322	8488	6300
1323	8493	6293
1324	8498	6285
1325	8501	6276
1326	8505	6268
1327	8509	6260
1328	8512	6251
1329	8515	6242
1330	8518	6233
1331	8521	6225
1332	8525	6216
1333	8529	6208
1334	8533	6200
1335	8538	6192
1336	8541	6184
1337	8545	6176
1338	8549	6168
1339	8553	6159
1340	8557	6151
1341	8561	6143
1342	8565	6135
1343	8568	6126
1344	8572	6118
1345	8576	6110
1346	8580	6102
1347	8583	6093
1348	8586	6085
1349	8590	6077
1350	8594	6068
1351	8597	6060
1352	8601	6052
1353	8604	6043
1354	8607	6035
1355	8610	6026
1356	8614	6018
1357	8618	6010
1358	8622	6002
1359	8625	5993
1360	8629	5985
1361	8632	5977
1362	8635	5968
1363	8639	5960
1364	8643	5952
1365	8646	5943
1366	8651	5936
1367	8654	5927
1368	8658	5919
1369	8662	5912
1370	8666	5904
1371	8669	5895
1372	8674	5888
1373	8678	5880
1374	8682	5872
1375	8686	5864
1376	8690	5856
1377	8694	5848
1378	8698	5841
1379	8702	5832
1380	8705	5824
1381	8709	5817
1382	8713	5808
1383	8716	5800
1384	8720	5792
1385	8723	5784
1386	8727	5776
1387	8731	5768
1388	8735	5760
1389	8739	5752
1390	8743	5744
1391	8746	5737
1392	8751	5729
1393	8755	5721
1394	8758	5713
1395	8762	5705
1396	8766	5698
1397	8771	5690
1398	8775	5682
1399	8778	5674
1400	8781	5666
1401	8786	5658
1402	8789	5650
1403	8793	5642
1404	8796	5634
1405	8799	5626
1406	8802	5617
1407	8805	5609
1408	8809	5602
1409	8813	5594
1410	8816	5585
1411	8819	5578
1412	8823	5570
1413	8827	5562
1414	8830	5554
1415	8834	5546
1416	8837	5538
1417	8840	5530
1418	8844	5522
1419	8847	5513
1420	8850	5505
1421	8854	5498
1422	8857	5490
1423	8861	5482
1424	8864	5474
1425	8868	5466
1426	8870	5458
1427	8874	5450
1428	8879	5443
1429	8882	5435
1430	8886	5427
1431	8890	5419
1432	8893	5411
1433	8896	5403
1434	8899	5395
1435	8902	5387
1436	8906	5380
1437	8910	5372
1438	8914	5364
1439	8918	5357
1440	8922	5349
1441	8926	5342
1442	8929	5334
1443	8934	5327
1444	8940	5320
1445	8943	5312
1446	8948	5305
1447	8952	5298
1448	8955	5290
1449	8958	5282
1450	8962	5275
1451	8965	5267
1452	8969	5259
1453	8973	5252
1454	8978	5245
1455	8982	5237
1456	8986	5230
1457	8990	5222
1458	8994	5215
1459	8997	5207
1460	9001	5200
1461	9004	5192
1462	9008	5184
1463	9012	5176
1464	9015	5169
1465	9019	5162
1466	9023	5154
1467	9026	5146
1468	9030	5139
1469	9034	5131
1470	9037	5124
1471	9041	5116
1472	9044	5108
1473	9049	5101
1474	9053	5094
1475	9057	5087
1476	9061	5079
1477	9064	5071
1478	9068	5064
1479	9073	5057
1480	9076	5050
1481	9080	5042
1482	9083	5035
1483	9087	5027
1484	9091	5020
1485	9095	5012
1486	9098	5005
1487	9103	4998
1488	9106	4990
1489	9109	4982
1490	9112	4974
1491	9115	4967
1492	9118	4959
1493	9122	4952
1494	9126	4945
1495	9131	4938
1496	9135	4930
1497	9138	4923
1498	9141	4915
1499	9145	4908
1500	9149	4900
1501	9153	4893
1502	9157	4886
1503	9160	4878
1504	9163	4871
1505	9167	4863
1506	9171	4856
1507	9175	4849
1508	9178	4841
1509	9182	4834
1510	9186	4827
1511	9192	4821
1512	9197	4814
1513	9200	4806
1514	9204	4799
1515	9207	4792
1516	9211	4785
1517	9215	4777
1518	9219	4770
1519	9223	4763
1520	9226	4755
1521	9228	4747
1522	9231	4740
1523	9235	4732
1524	9239	4725
1525	9243	4718
1526	9246	4711
1527	9249	4703
1528	9253	4696
1529	9256	4688
1530	9261	4681
1531	9265	4674
1532	9269	4667
1533	9272	4660
1534	9276	4653
1535	9279	4645
1536	9282	4638
1537	9285	4630
1538	9288	4623
1539	9291	4615
1540	9295	4608
1541	9299	4601
1542	9303	4594
1543	9306	4587
1544	9311	4580
1545	9315	4573
1546	9319	4566
1547	9322	4558
1548	9325	4551
1549	9329	4544
1550	9333	4537
1551	9336	4529
1552	9341	4523
1553	9345	4516
1554	9349	4509
1555	9353	4502
1556	9356	4495
1557	9360	4488
1558	9364	4481
1559	9368	4473
1560	9372	4467
1561	9375	4459
1562	9380	4453
1563	9384	4446
1564	9388	4439
1565	9391	4431
1566	9395	4425
1567	9399	4418
1568	9403	4411
1569	9407	4404
1570	9411	4397
1571	9414	4390
1572	9418	4382
1573	9421	4375
1574	9424	4368
1575	9428	4361
1576	9432	4354
1577	9436	4347
1578	9441	4340
1579	9444	4333
1580	9450	4327
1581	9454	4320
1582	9458	4313
1583	9461	4306
1584	9465	4299
1585	9467	4292
1586	9471	4284
1587	9474	4278
1588	9479	4271
1589	9482	4264
1590	9485	4257
1591	9489	4250
1592	9493	4243
1593	9498	4236
1594	9502	4229
1595	9506	4222
1596	9510	4216
1597	9513	4209
1598	9516	4201
1599	9520	4194
1600	9524	4187
1601	9527	4181
1602	9531	4174
1603	9535	4167
1604	9538	4160
1605	9542	4153
1606	9546	4146
1607	9550	4139
1608	9553	4132
1609	9558	4126
1610	9562	4119
1611	9566	4112
1612	9569	4105
1613	9573	4098
1614	9576	4091
1615	9579	4084
1616	9584	4078
1617	9588	4071
1618	9591	4063
1619	9594	4056
1620	9597	4049
1621	9601	4043
1622	9605	4036
1623	9608	4029
1624	9612	4022
1625	9616	4015
1626	9620	4009
1627	9624	4002
1628	9627	3995
1629	9630	3988
1630	9634	3981
1631	9637	3974
1632	9641	3967
1633	9645	3960
1634	9649	3954
1635	9652	3947
1636	9656	3940
1637	9659	3933
1638	9662	3926
1639	9665	3919
1640	9668	3912
1641	9671	3905
1642	9675	3898
1643	9678	3891
1644	9682	3884
1645	9685	3877
1646	9689	3870
1647	9693	3864
1648	9697	3858
1649	9701	3851
1650	9704	3844
1651	9708	3837
1652	9712	3830
1653	9716	3824
1654	9720	3817
1655	9725	3811
1656	9728	3804
1657	9732	3797
1658	9735	3790
1659	9738	3784
1660	9742	3777
1661	9746	3770
1662	9749	3763
1663	9752	3756
1664	9755	3749
1665	9758	3742
1666	9762	3736
1667	9766	3729
1668	9770	3723
1669	9774	3716
1670	9777	3709
1671	9781	3703
1672	9785	3696
1673	9789	3690
1674	9793	3683
1675	9796	3676
1676	9800	3669
1677	9804	3663
1678	9808	3656
1679	9812	3650
