iter	R2	RMSE
187	0.6193257649	2.471074713
188	0.6197692978	2.469634738
189	0.6203497147	2.467749087
190	0.6208251664	2.466203371
191	0.6214874555	2.464048621
192	0.6220445322	2.462234719
193	0.6225096811	2.460719119
194	0.623195	0.6190423719	2.4195	0.6235887106	2.457199706
196	0.6242173463	2.455146993
197	0.62518639	2.451979363
198	0.6257543488	2.450120905
1199	0.6425451814	2.325959892200	0.6268966194	2.446378924
201	0.6273909294	2.444757832
202	0.6279818557	2.4428184720203	0.6285484358	2.44095757
204	0.6291038031	2.439132116
205	0.6296006215	2.43749795
206	0.6301029623	2.435844505
207	0.6305011151	2.434533195
208	0.6310076318	2.432863969
209	0.6315096281	2.431208509
210	0.6320407846	2.429455657
211	0.6324188524	2.428207238
212	0.6326828076	2.427335249
213	0.6331472609	2.425800145
214	214	0.6899554905	2.135407215	0.6340157285	2.422927088
216	0.6345511176	2.42115422
217	0217	0.6911919728	2.131144706
218	0.6916291529	2.1296219	0.6357295452	2.417247438
220	0220	0.6926778516	2.12601221	0221	0.6931943118	2.12422222	0.6375485185	2.411204659
22223	0.6939827577	2.121492974
224	0.6943826326	2.120106435
225	0.6945239945	2.119616226	0.6392555774	2.405519862
227	0.639698601	2.404042321
228	228	0.6957185404	2.115467229	0.6403634839	2.401823145
230	0.6408505681	2.400196104
231	0.6414756617	2.398106444
232	0.6420008729	2.396349277
233	0.6424511941	2.394841639
234	0.6427170421	2.393951156235	0.6994268745	2.102537366
2236	0.64407214	2.38940697
237	0.6445373497	2.387844942
238	0.6448639436	2.386747731
23239	0.7012919445	2.09600404240	0.6456533523	2.384093583
241	0.6460240254	2.382846287
24242	0.7027413643	2.0909126424243	0.703224876	2.0892114472244	0.7036870983	2.0875838524245	0.7042903471	2.08545777
246	0.7049375483	2.083174364
247	0.7052634543	2.08202358
248	0.7056390644	2.080696499
249	0.7059726191	2.079517296
250	0.7062208791	2.078639197
251	0.70665522	2.077102035
252	0.7071014294	2.075521685
253	0.7075167736	2.074049568
254	0.707916399	2.072632177
255	0.7082888154	2.071310418
256	0.7088079625	2.069466482
257	0.709068544	2.068540314
258	0.7094406245	2.067217133
259	0.7099219642	2.065504151
260	0.7104209998	2.063726692
261	0.7107862733	2.062424694
262	0.711200518	2.060947145
263	0.7116364834	2.059390977
264	0.7121027617	2.057725306
265	0.7124363838	2.05653269
266	0.7129002998	2.054873155
267	0.7131930364	2.053825279
268	0.7135276507	2.052626842
269	0.7140081625	2.050904642
270	0.7143219053	2.049779377
271	0.7147023419	2.048414081
272	0.7149558072	2.047503948
273	0.7152546214	2.046430459
274	0.7156371904	2.045055258
275	0.7158292789	2.044364419
276	0.7160886138	2.04343136
277	0.7164295008	2.042204237
278	0.7167164872	2.041170574
279	0.7170860407	2.039838749
280	0.7173280704	2.038966032
281	0.7176253006	2.037893762
282	0.7180251598	2.036450362
283	0.7184308549	2.034984849
284	0.7188121643	2.033606464
285	0.7192599499	2.031986581
286	0.7196815992	2.030460067
287	0.7202050953	2.028563233
288	0.7205147885	2.027440256
289	0.7207418265	2.0266166
290	0.7211587139	2.025103329
291	0.7215424914	2.023709245
292	0.7217294342	2.023029821
293	0.7219149808	2.022355246
294	0.7221235937	2.021596541
295	0.7226006236	2.019860561
296	0.722824991	2.019043539
297	0.7231523829	2.017850766
298	0.7234169466	2.016886377
299	0.7238714974	2.015228368
300	0.7241556769	2.014191108
301	0.7243902472	2.01333452
302	0.7247717012	2.011940773
303	0.7252317808	2.010258461
304	0.7254692202	2.009389696
305	0.725778521	2.008257435
306	0.7259996423	2.007447582
307	0.7262424491	2.006557931
308	0.7265791016	2.005323772
309	0.7270328414	2.003659171
310	0.7273464014	2.00250803
311	0.7275663957	2.001699991
312	0.7278736254	2.000570991
313	0.7280709793	1.999845423
314	0.72840131	1.99863038
315	0.7286516577	1.997709043
316	0.7289388303	1.996651658
317	0.729181874	1.995756321
318	0.7294887244	1.994625355
319	0.7297494214	1.993663993
320	0.7299226724	1.993024846
321	0.7299681348	1.992857095
322	0.730037872	1.992599746
323	0.7302826828	1.991696062
324	0.7304885072	1.990935974
325	0.7307341994	1.990028278
326	0.731013082	1.98899746
327	0.7312986008	1.98794156
328	0.7315204751	1.98712064
329	0.7317426148	1.986298399
330	0.7319811364	1.985415142
331	0.7322992297	1.984236616
332	0.7325913157	1.983153828
333	0.7328870883	1.982056772
334	0.7331455321	1.981097675
335	0.7335025032	1.979772175
336	0.7337289166	1.978931
337	0.7340270039	1.977822995
338	0.734238782	1.977035428
339	0.7345778625	1.975773792
340	0.7349101988	1.974536466
341	0.7351127088	1.973782119
342	0.7354064792	1.972687314
343	0.735516947	1.972275473
344	0.7358975844	1.970855737
345	0.7361968571	1.969738764
346	0.7364977797	1.968614994
347	0.736645972	1.968061347
348	0.7369277412	1.967008225
349	0.7372998589	1.965616559
350	0.7375228066	1.964782295
351	0.7377879012	1.963789857
352	0.7380584776	1.962776379
353	0.7381770469	1.962332097
354	0.7384339291	1.961369211
355	0.7387155048	1.96031322
356	0.7388925575	1.959648929
357	0.739013366	1.959195535
358	0.7391836653	1.958556222
359	0.739249271	1.958309879
360	0.7395493803	1.957182603
361	0.7398111372	1.956198856
362	0.7399450885	1363	0.68783363	0.7403539163	1.954157381
364	0.7405291251	365	0.688313365	0.7408188984	366	0.688446366	0.7410971549	367	0.688794367	0.7414365435	368	0.689095368	0.7417604081	369	0.6893603873	2.178802545
370	0.689665269	2.177733074
371	0.68975371	0.7425484872	1372	0.68998372	0.7428781923	1373	0.69018373	0.7430244599	1374	0.6904460033	2.174991999
375	0.6906837496	2.174375	0.376	0.69084376	0.743799376	0.377	0.6911021986	2.172685492
378	0.6912754004	2.172076284
379	0.69137379	0.7447006299	1.93773115
380	0.7449001299	1.936973896
381	0.7450508804	1.382	0.691837122	2.170099348
383	0.6920382192	2.169391164
384	0.692357092	2.168267747
385	0.692667385	0.7458137182	386	0.6928631116	2.1664838
387	0.6931790516	2.165369223
388	0.69330740388	0.746601292389	0.69350689389	0.74685393390	0.69372346390	0.747089093391	0.69396487391	0.747267838392	0.6941723205	2.1618614163393	0.6945214846	2.160626963393	0.6898880242	2.230326289
394	0.6900935824	2.229586979
395	0.6903526679	2.228654804
396	0.6905541994	2.227929434
397	0.6908490536	2.226867745
398	0.6909766102	2.226408291
399	0.6914040944	2.224867819
400	0.6915486379	2.224346704
401	0.6917649642	2.223566567
402	0.6920725374	2.222456893
403	0.6922763503	2.221721265
404	0.692537093	2.220779803
405	0.6926545244	2.220355664
406	0.6928872143	2.219514994
407	0.6930994496	2.218747945
408	0.6933062677	2.21800022
409	0.6934880618	2.217342758
410	0.6937589488	2.216362727
411	0.6938837148	2.2159111941412	0.6940853598	2.215181243
413	0.6941414	0.7518567149	1414	0.6943415	0.7520409453	1.415	0.6946416	0.7524415423	1.416	0.6947417	0.752589211418	417	0.6949418	0.75275764419	0418	0.6951419	0.75296348420	419	0.6953896431	2.210453927
420	0.6956446411	2.209528517
421	0.6958463391	2.208796423	422	0.6960282073	2.208135424423	0.6961966714	2.207523842424	0.6963930085	2.20681038426	0.7010009767	2.137589663
42426	0.6967693595	2.205442428	427	0.6968900483	2.205003429	428	0.697038722	2.2044624430429	0.69722217	2.2037948844430	0.6974207223	2.203072176432	0.7022073558	2.13327301
433	0.7024227538	2.132501356
434	0.7026371505	2.131733012
43434	0.6982048797	2.20021560436	0.7030176688	2.130368647
4436	0.6983920649	2.1995331724437	0.6984796946	2.1992136214438	0.6986679568	2.198526945440	0.7039676978	2.126958455
441	0.7041371937	2.126349464
442	0.7042311394	2.126011846
4442	0.699449553	2.19567382
443	0.6995415483	2.195337758
4445	0.7050722981	2.1229865334446	0.7053500566	2.1219865994447	0.7055741014	2.1211796914448	0.7057503076	2.120544861448	0.7005632249	2.191602075
449	0.7007088222	2.191069191
4451	0.7063255265	2.1184711564452	0.7065073849	2.1178151214453	0.7068086829	2.1167277734454	0.7070301073	2.115928323454	0.7015998752	2.1878051224455	0.7017664479	2.1871943994456	0.7019707109	2.186445256458	0.7077861801	2.113196251
4458	0.7023709128	2.184976754
459	0.7025881023	2.184179384461	0.7083687493	2.111088724
4461	0.7029215632	2.182954584462	0.7031044858	2.1822824124463	0.7032709024	2.18167071465	0.7090263188	2.108707342
466	0.7091720095	2.10817936
467	0.7092285549	2.107974405
467	0.7040884853	2.178663046
468	0.7043095245	2.177849188
469	0.7044610497	2.177291102
470	0.7045976574	2.176787837
471	0.7049200427	2.175599701
472	0.7051736906	2.174664438
473	0.7053170065	2.174135819
474	0.7054671741	2.173581789
475	0.7056362954	2.172957662
476	0.7059194976	2.171912128
477	0.7061601944	2.171023121
478	0.7063704658	2.170246191
479	0.7064903726	2.169803024
480	0.7067120073	2.168983639
481	0.7069314093	2.168172204
482	0.7070391945	2.167773461
483	0.707213646	2.167127935
484	0.7074256779	2.16634309
485	0.7075992178	2.165700514
486	0.7077061298	2.165304549
487	0.7078113951	2.164914613
